Meter_id,Meter Detection,Average_volume,Category,Std of volume,Monthly changing rate,Cust_type,Max_volume,Meter_size,Min_volume,Estimated water_loss
2.36E+15,1,1.85,,1.21,0.01,MULTI-FAMILY,6.92,0.75,0,
2.42E+15,1,2.3,,1.49,-0.02,MULTI-FAMILY,5.09,0.75,0,
2.51E+15,1,32.27,,12.71,-0.53,RESIDENTIAL,58.28,0.63,16.19,
2.54E+15,1,0.52,,0.43,0,MULTI-FAMILY,2.1,0.75,0,
2.55E+15,1,8.93,,2.53,-0.02,RESIDENTIAL,16.83,1,4.41,
2.58E+15,1,4.86,,1.05,-0.03,RESIDENTIAL,7.24,0.63,3.1,
2.60E+15,-1,0.42,,-0.06,-0.05,MULTI-FAMILY,-0.03,3,3.58,46.17
2.69E+15,1,9.18,,1.56,0.09,RESIDENTIAL,13.16,1,6.27,
2.74E+15,1,9.33,,4.24,0.58,RESIDENTIAL,14.35,1,0.74,
2.90E+15,1,44.47,,11.22,-0.24,BOAT DOCK,90.56,3,29.47,
2.92E+15,-1,2.29,,-0.02,-0.04,HOTEL,-0.02,4,7.52,391.41
3.05E+15,-1,,Negative Read,,,,,,,
3.08E+15,1,16.69,,6.39,-0.04,RESIDENTIAL,30.43,1,6.96,
3.20E+15,1,15.12,,5.75,-0.25,RESIDENTIAL,28.53,0.63,6.06,
3.27E+15,-1,3.83,,-0.02,-0.07,BOAT DOCK,-0.01,4,13.75,323.87
3.32E+15,-1,0.92,,-0.04,-0.05,COMMERCIAL,-0.02,4,4.07,353.37
3.35E+15,1,6.38,,2.7,-0.08,MULTI-FAMILY,12.14,0.63,0.79,
3.38E+15,1,2.28,,1.22,-0.09,RESIDENTIAL,5.26,0.63,1.04,
3.44E+15,1,1.31,,1.42,0.03,MULTI-FAMILY,8.98,0.75,0,
3.47E+15,-1,0.62,,-0.06,-0.05,BOAT DOCK,-0.03,4,3.96,108.22
3.49E+15,1,210.4,,43.63,-0.64,BOAT DOCK,302.96,3,32.42,
3.56E+15,-1,,Negative Read,,,,,,,
3.61E+15,1,7.74,,3.98,0.02,MULTI-FAMILY,18.67,0.75,0.05,
3.64E+15,1,2.04,,1.63,0.54,RESIDENTIAL,6.52,0.63,0,
3.64E+15,1,10.17,,3.71,0.42,COMMERCIAL,19.02,1,0,
3.67E+15,1,2.35,,0.55,0,RESIDENTIAL,3.98,0.63,1.57,
3.69E+15,1,28.59,,12.27,-0.61,COMMERCIAL,45.25,1.5,6.53,
3.73E+15,1,35.92,,54.31,-0.58,RESIDENTIAL,157.84,1,0,
3.73E+15,1,35.92,,54.31,-0.58,MULTI-FAMILY,157.84,4,0,
3.77E+15,-1,,Negative Read,,,,,,,
3.83E+15,1,2.94,,2.79,0.15,RESIDENTIAL,7.82,0.63,0,
3.89E+15,-1,1.19,,-0.04,-0.04,BOAT DOCK,-0.02,3,4.73,152.63
4.03E+15,1,120.45,,36.48,0.65,COMMERCIAL,187.93,4,50.64,
4.05E+15,-1,2.96,,-0.05,-0.04,HOSPITAL,-0.02,4,13.29,128.37
4.08E+15,1,1.53,,0.38,0.01,RESIDENTIAL,2.82,0.75,0.76,
4.08E+15,1,15.33,,8.22,0.42,RESIDENTIAL,54.7,0.63,1.6,
4.09E+15,1,6.81,,1.55,-0.03,MULTI-FAMILY,10.24,0.63,1.8,
4.11E+15,1,29.04,,84.95,1.7,RESIDENTIAL,561.04,1,0,
4.11E+15,1,12.54,,5.87,0,RESIDENTIAL,40.16,0.63,7.6,
4.24E+15,-1,-0.06,,-0.06,-0.04,HOTEL,-0.03,4,0.97,52.09
4.28E+15,1,33.54,,15.96,-0.37,RESIDENTIAL,73.03,1,7.21,
4.32E+15,-1,0.63,,-0.03,-0.06,COMMERCIAL,-0.02,4,2.17,285.38
4.35E+15,-1,0.1,,-0.06,-0.04,BOAT DOCK,-0.03,3,1.95,74.48
4.37E+15,-1,0.3,,-0.05,-0.05,BOAT DOCK,-0.03,3,2.42,164.69
4.41E+15,1,63.68,,10.05,-0.28,MULTI-FAMILY,98.82,3,50.6,
4.48E+15,1,16.07,,22.38,0.66,COMMERCIAL,67.85,3,0,
4.48E+15,1,6.73,,2.99,-0.08,MULTI-FAMILY,17.1,0.63,1.45,
4.55E+15,1,19.77,,7.56,0.36,RESIDENTIAL,51.04,1,8.19,
4.56E+15,1,11.4,,5.12,-0.14,RESIDENTIAL,28.63,0.63,5.07,
4.58E+15,1,2.95,,1.32,-0.03,MULTI-FAMILY,6.59,0.75,0,
4.58E+15,1,5.11,,3.07,0.12,MULTI-FAMILY,14.59,0.63,0,
4.68E+15,1,4.02,,3.56,0,MULTI-FAMILY,13.54,0.75,0.07,
4.73E+15,-1,0.84,,-0.05,-0.03,HOTEL,-0.02,4,4.04,151.84
4.81E+15,-1,0.74,,-0.05,-0.04,BOAT DOCK,-0.02,3,4.08,172.15
4.88E+15,1,38.48,,51.98,0.06,MULTI-FAMILY,230.63,1,0,
4.90E+15,-1,2.97,,0.03,-0.03,MULTI-FAMILY,-0.01,4,7.33,460.08
4.98E+15,-1,2.27,,-0.05,-0.04,BOAT DOCK,-0.02,6,9.09,104.73
4.98E+15,1,7.36,,1.67,-0.03,RESIDENTIAL,11.77,0.63,2.53,
4.99E+15,1,4.37,,2.62,0.09,RESIDENTIAL,13.39,1,0,
5.09E+15,1,15.34,,5.18,-0.11,RESIDENTIAL,27.59,1,8.23,
5.12E+15,-1,0.27,,-0.06,-0.04,MULTI-FAMILY,-0.03,3,2.65,115.43
5.29E+15,1,0,,0,0,COMMERCIAL,0,3,0,
5.34E+15,-1,0.44,,-0.06,-0.04,BOAT DOCK,-0.03,4,2.86,152.67
5.34E+15,-1,-0.37,,-0.06,-0.04,SPRINKLER,-0.03,1,0.1,98.23
5.48E+15,-1,0.45,,-0.05,-0.05,COLLEGE AND UNIVERSITY,-0.03,3,2.77,151.95
5.51E+15,1,14.37,,4.7,0.43,COMMERCIAL,22.44,1,0,
5.51E+15,1,100.16,,37.55,0.17,COMMERCIAL,215.73,3,50.21,
5.53E+15,1,10.05,,4.92,-0.09,MULTI-FAMILY,27.65,0.63,2.53,
5.54E+15,1,43.21,,20.18,-0.73,COMMERCIAL,107.36,3,0.52,
5.57E+15,-1,0.63,,-0.02,-0.06,BOAT DOCK,-0.02,3,0.1,390.58
5.62E+15,1,4.63,,2.46,0.24,RESIDENTIAL,8.46,1,0,
5.65E+15,1,28.66,,6.67,-0.15,RESIDENTIAL,40.74,1,15.78,
5.67E+15,1,6.79,,1.84,-0.2,RESIDENTIAL,13.39,1,3.61,
5.68E+15,-1,2.44,,-0.04,-0.07,HOTEL,-0.02,4,9.26,181.17
5.69E+15,-1,12.99,,0.1,-0.01,HOTEL,0.02,3,41.07,1086.31
5.70E+15,1,116.3,,21.25,0.13,MULTI-FAMILY,187.5,3,86.96,
5.74E+15,1,3.41,,1.76,-0.08,RESIDENTIAL,10.69,0.63,1.45,
5.80E+15,-1,2.02,,-0.04,-0.02,BOAT DOCK,-0.02,4,2.99,367.15
6.00E+15,1,9.48,,2.24,0.06,RESIDENTIAL,14.96,0.63,6.52,
6.00E+15,1,1.83,,2.18,0.07,MULTI-FAMILY,17.58,0.75,0,
6.05E+15,-1,0.33,,-0.06,-0.03,COMMERCIAL,-0.03,3,2.79,46.13
6.06E+15,1,7.85,,2.61,-0.11,RESIDENTIAL,13.84,1,3.92,
6.06E+15,-1,1.85,,-0.04,-0.05,BOAT DOCK,-0.02,4,2.14,240.67
6.18E+15,1,46.51,,27.55,-0.05,MULTI-FAMILY,212.45,4,31.49,
6.20E+15,-1,1.7,,0.04,-0.09,COMMERCIAL,-0.02,3,0.69,485.07
6.22E+15,1,97.14,,41.79,-0.06,BOAT DOCK,430.73,3,76.3,
6.29E+15,1,11.24,,1.79,3.58,RESIDENTIAL,13.03,0.63,9.45,
6.32E+15,1,15.44,,7.11,-0.11,RESIDENTIAL,30.57,1,3.56,
6.33E+15,1,11.52,,10.76,-0.13,RESIDENTIAL,58.81,0.63,2.32,
6.34E+15,1,8,,4.37,-0.08,RESIDENTIAL,14.21,1,1.16,
6.43E+15,1,41.21,,41.93,-0.23,BOAT DOCK,131.84,3,0.04,
6.43E+15,1,41.21,,41.93,-0.23,MULTI-FAMILY,131.84,0.75,0.04,
6.59E+15,-1,4.05,,-0.04,-0.12,BOAT DOCK,-0.02,6,16.39,152.64
6.61E+15,1,4.13,,3.37,-0.18,MULTI-FAMILY,13.54,1,0,
6.66E+15,1,16.39,,8.76,0.29,RESIDENTIAL,47.2,1,4.49,
6.74E+15,1,8.69,,1.78,-0.07,RESIDENTIAL,13.66,0.63,6.36,
6.86E+15,1,126.76,,36.4,-0.07,BOAT DOCK,269.3,3,88.99,
6.89E+15,-1,2.11,,-0.02,-0.04,BOAT DOCK,-0.02,4,8.49,360.51
6.94E+15,-1,1.35,,-0.06,-0.04,BOAT DOCK,-0.02,3,6.69,119.09
6.96E+15,1,22.65,,15.15,-0.4,CONSOLIDATED,97.37,2,3.61,
6.97E+15,1,15.96,,6.1,-0.21,RESIDENTIAL,27.86,0.63,4.41,
6.99E+15,1,39.55,,100.17,-0.16,BOAT DOCK,437.27,3,0.7,
7.02E+15,1,2.44,,0.45,-0.01,MULTI-FAMILY,3.21,0.63,1.81,
7.09E+15,-1,0.51,,-0.05,-0.05,HOTEL,-0.03,3,2.72,139.2
7.09E+15,1,1.02,,1.49,-0.09,CITY,5.52,2,0,
7.14E+15,1,8.82,,3.42,-0.07,RESIDENTIAL,14.17,0.63,2.24,
7.24E+15,1,13.66,,8.84,0.61,RESIDENTIAL,25.48,1,0,
7.28E+15,1,20.23,,5.62,0.12,RESIDENTIAL,34.21,0.63,7.73,
7.28E+15,1,4.57,,1.81,-0.04,RESIDENTIAL,8.75,0.63,1.84,
7.29E+15,1,22.74,,6.73,-0.28,RESIDENTIAL,45.25,0.63,11.61,
7.35E+15,1,19.15,,19.16,0.75,CONSOLIDATED,107.5,2,2.58,
7.39E+15,1,12.11,,3.29,0.17,MULTI-FAMILY,18.5,0.63,2.58,
7.42E+15,1,8.33,,1.81,0,MULTI-FAMILY,12.47,0.63,5.15,
7.44E+15,1,5.38,,2.79,0.24,COMMERCIAL,9.57,0.63,1.9,
7.51E+15,1,12.28,,2.97,-0.07,RESIDENTIAL,19.82,1,7.06,
7.54E+15,1,36.35,,27.93,4.66,MULTI-FAMILY,85.42,4,12.31,
7.58E+15,1,0.97,,0.65,-0.01,MULTI-FAMILY,3.89,0.75,0,
7.59E+15,-1,2.17,,-0.03,-0.01,COMMERCIAL,-0.02,4,6.42,216.79
7.73E+15,1,18.11,,7.44,-0.08,BOAT DOCK,44.88,3,9.41,
7.77E+15,1,15.12,,4.97,0.18,RESIDENTIAL,30.54,0.63,7.34,
7.80E+15,-1,7.55,,0.22,-0.09,COMMERCIAL,0.01,6,3.64,1139.96
7.80E+15,-1,7.55,,0.22,-0.09,COMMERCIAL,0.01,4,3.64,1139.96
7.80E+15,1,64.14,,15.03,-1.55,COMMERCIAL,102.31,1.5,43.78,
7.93E+15,-1,1,,-0.03,-0.04,COMMERCIAL,-0.02,4,3.31,362.58
7.99E+15,1,3.29,,6.34,-0.96,RESIDENTIAL,41.14,0.63,0,
8.00E+15,-1,-0.02,,-0.06,-0.03,BOAT DOCK,-0.03,3,1.45,42.22
8.01E+15,1,10.76,,5.85,-0.2,RESIDENTIAL,20.6,0.63,0,
8.03E+15,1,20.91,,22.7,1.04,RESIDENTIAL,64.17,1.5,0,
8.08E+15,1,10.01,,5.97,-0.37,RESIDENTIAL,36.76,0.63,0.39,
8.10E+15,1,4.81,,2,0.17,RESIDENTIAL,8.77,0.63,0.67,
8.12E+15,-1,0.7,,-0.06,-0.03,BOAT DOCK,-0.03,3,3.78,69.75
8.16E+15,1,21.7,,6.43,-0.14,RESIDENTIAL,32.58,1,8.66,
8.22E+15,-1,0.09,Zero Read,0.02,-0.12,COMMERCIAL,-0.02,4,-0.16,663.32
8.26E+15,1,5.81,,8.28,0,CITY,31.64,2,0,
8.29E+15,-1,12.76,,0.15,-0.12,COMMERCIAL,0.03,6,36.28,2214.7
8.33E+15,1,13.08,,3.42,-0.11,RESIDENTIAL,23.49,0.63,7.73,
8.33E+15,1,76.64,,112.33,-0.87,BOAT DOCK,358.2,4,1.06,
8.33E+15,1,76.64,,112.33,-0.87,RESIDENTIAL,358.2,0.75,1.06,
8.42E+15,1,3.33,,1.13,-0.04,RESIDENTIAL,5.5,1,1.56,
8.45E+15,-1,,Negative Read,,,,,,,
8.58E+15,1,6.19,,2.03,0.06,MULTI-FAMILY,11.58,0.63,2.66,
8.60E+15,1,47.06,,7.78,-0.45,COMMERCIAL,61.81,2,34.58,
8.67E+15,-1,,Negative Read,,,,,,,
8.69E+15,1,363.89,,57.23,-0.1,COMMERCIAL,458.56,3,24.98,
8.75E+15,1,77.8,,47.08,1.16,CONSOLIDATED,188.43,2,8.16,
8.77E+15,1,44.58,,73.95,0.4,COMMERCIAL,272.29,4,0,
8.77E+15,1,44.58,,73.95,0.4,MULTI-FAMILY,272.29,0.75,0,
8.82E+15,1,3.91,,1.55,-0.02,RESIDENTIAL,7.96,0.63,1.07,
8.91E+15,1,17.44,,6.64,0.35,RESIDENTIAL,31.1,0.63,7.87,
8.99E+15,1,186.44,,248.17,1.73,BOAT DOCK,596.65,6,0.04,
8.99E+15,1,186.44,,248.17,1.73,RESIDENTIAL,596.65,0.75,0.04,
9.04E+15,-1,,Negative Read,,,,,,,
9.04E+15,1,7.74,,1.68,0.06,MULTI-FAMILY,13.78,0.63,4.91,
9.04E+15,-1,2.58,,-0.03,-0.05,BOAT DOCK,-0.02,4,9.62,369.12
9.06E+15,1,17,,7.98,0.75,RESIDENTIAL,46.33,1,8.7,
9.06E+15,1,15.93,,5.48,-0.02,RESIDENTIAL,28.8,1,5.61,
9.16E+15,1,10.03,,1.88,-0.09,RESIDENTIAL,15.35,1,6.36,
9.18E+15,1,16.98,,4.55,-0.11,RESIDENTIAL,30.9,0.63,7.84,
9.32E+15,1,12.43,,3.03,0,RESIDENTIAL,19.95,0.63,6.65,
9.38E+15,-1,0.41,,-0.06,-0.04,BOAT DOCK,-0.03,3,2.56,79.82
9.42E+15,1,10.02,,2.98,-0.25,RESIDENTIAL,17.88,1,6.36,
9.47E+15,1,8.76,,3.05,0.04,MULTI-FAMILY,14.47,0.75,0,
9.47E+15,1,5.02,,1.92,-0.04,RESIDENTIAL,9.67,0.63,1.57,
9.57E+15,1,20.96,,6.17,0.18,MULTI-FAMILY,34.41,3,11.64,
9.65E+15,1,11.08,,2.06,-0.4,MULTI-FAMILY,14.85,0.63,9.06,
9.68E+15,-1,0.96,,-0.05,-0.04,BOAT DOCK,-0.02,3,5.14,159.77
9.70E+15,-1,2.14,,-0.03,-0.08,HOTEL,-0.02,3,1.87,206.78
9.83E+15,1,7.27,,9.04,0.02,MULTI-FAMILY,63.58,0.63,0,
9.85E+15,-1,5.18,,0,-0.02,HOTEL,-0.01,4,14.06,383.82
9.86E+15,-1,0.81,,-0.06,-0.04,BOAT DOCK,-0.03,3,4.6,69.86
9.87E+15,-1,,Negative Read,,,,,,,
9.87E+15,-1,0.62,,-0.05,-0.04,BOAT DOCK,-0.02,3,3.53,217.12
9.98E+15,1,6.1,,1.53,0.02,MULTI-FAMILY,10.52,0.63,1.75,
1.00E+16,1,1.3,,1.13,-0.04,MULTI-FAMILY,4.27,0.75,0,
1.01E+16,-1,0.24,,-0.06,-0.04,MULTI-FAMILY,-0.03,3,2.2,60.23
1.02E+16,1,12.24,,22.63,0.03,MULTI-FAMILY,109.49,2,0.04,
1.02E+16,1,12.24,,22.63,0.03,MULTI-FAMILY,109.49,0.75,0.04,
1.02E+16,1,12.24,,22.63,0.03,RESIDENTIAL,109.49,0.75,0.04,
1.04E+16,1,9.38,,15.01,0.04,RESIDENTIAL,70.22,0.63,0.36,
1.06E+16,1,27.29,,11.78,-2.03,RESIDENTIAL,48.79,1,9.68,
1.07E+16,1,57.5,,84.12,0.36,COMMERCIAL,477.82,4,0,
1.07E+16,1,57.5,,84.12,0.36,MULTI-FAMILY,477.82,0.75,0,
1.07E+16,1,0.67,,0.22,-0.27,MULTI-FAMILY,0.92,0.63,0.38,
1.08E+16,1,2.95,,1.3,0.09,RESIDENTIAL,5.7,0.63,0.71,
1.08E+16,-1,2.86,,-0.05,-0.04,BOAT DOCK,-0.02,6,13.23,163.58
1.09E+16,1,7.21,,1.4,-0.12,RESIDENTIAL,10.33,0.63,4.63,
1.09E+16,1,160.21,,136.21,-0.07,RESIDENTIAL,360.51,0.75,0.45,
1.09E+16,1,160.21,,136.21,-0.07,BOAT DOCK,360.51,4,0.45,
1.09E+16,1,160.21,,136.21,-0.07,COMMERCIAL,360.51,3,0.45,
1.10E+16,1,136.99,,45.64,2.48,COMMERCIAL,209.71,3,43.28,
1.10E+16,1,6.19,,1.22,0.35,RESIDENTIAL,7.74,0.63,2.81,
1.10E+16,1,4.09,,2.07,0.05,RESIDENTIAL,11.97,0.63,0,
1.12E+16,1,20.99,,5.2,-0.15,RESIDENTIAL,34.95,0.63,8.91,
1.12E+16,1,10.17,,1.99,-0.14,RESIDENTIAL,13.98,0.63,5.3,
1.12E+16,1,229.48,,145.97,1.15,MULTI-FAMILY,498.88,3,32.24,
1.12E+16,1,229.48,,145.97,1.15,COMMERCIAL,498.88,3,32.24,
1.13E+16,1,5.62,,2.82,-0.1,MULTI-FAMILY,13.54,0.63,1.9,
1.13E+16,1,17.69,,21.84,0.92,BOAT DOCK,73.12,3,5.24,
1.14E+16,1,28.98,,12.59,-0.02,MULTI-FAMILY,60.33,0.63,1.57,
1.14E+16,-1,0.62,,-0.05,-0.04,BOAT DOCK,-0.02,4,2.87,153.21
1.15E+16,-1,1.89,Zero Read,0.12,-0.03,RESIDENTIAL,-0.01,0.75,-0.16,1121.87
1.15E+16,-1,1.89,Zero Read,0.12,-0.03,COMMERCIAL,-0.01,6,-0.16,1121.87
1.15E+16,1,12.99,,1.58,-0.02,RESIDENTIAL,16.64,0.63,8.66,
1.19E+16,1,3.1,,1.07,0.13,RESIDENTIAL,5.18,1,0,
1.20E+16,1,6.34,,1.53,-0.01,MULTI-FAMILY,10.3,0.63,3.74,
1.20E+16,-1,1.42,,-0.01,-0.04,BOAT DOCK,-0.02,3,4.18,566.61
1.20E+16,-1,1.42,,-0.01,-0.04,COMMERCIAL,-0.02,4,4.18,566.61
1.21E+16,1,5.5,,1.99,-0.02,RESIDENTIAL,12.55,0.63,2.24,
1.21E+16,1,21.74,,12.12,0.26,RESIDENTIAL,45.99,1,0,
1.22E+16,-1,0.25,,-0.06,-0.03,MULTI-FAMILY,-0.03,4,2.69,51.33
1.22E+16,1,8.34,,2.01,0.14,RESIDENTIAL,11.92,0.63,4.27,
1.22E+16,1,11.88,,3.43,-0.06,MULTI-FAMILY,18.94,1,6.41,
1.23E+16,-1,0.55,,-0.06,-0.04,MULTI-FAMILY,-0.03,3,2.72,65.09
1.23E+16,1,11.61,,5.13,0.34,RESIDENTIAL,23.87,1,3.98,
1.24E+16,1,11.1,,6.23,0,MULTI-FAMILY,39.6,0.75,3.33,
1.24E+16,1,11.1,,6.23,0,COMMERCIAL,39.6,4,3.33,
1.25E+16,1,23.27,,6.72,0.34,RESIDENTIAL,42.95,0.63,11.22,
1.25E+16,-1,1.59,,-0.03,-0.04,BOAT DOCK,-0.02,4,4.08,160.04
1.26E+16,1,14.45,,4.16,-0.02,MULTI-FAMILY,24.98,0.63,5.8,
1.26E+16,-1,0.71,,-0.06,-0.04,MULTI-FAMILY,-0.03,3,4.18,100.76
1.27E+16,-1,0.57,,-0.06,-0.04,MULTI-FAMILY,-0.03,3,4.07,47.71
1.28E+16,1,10.4,,8.62,-0.08,RESIDENTIAL,37.74,0.63,4.34,
1.28E+16,1,100.04,,24.34,0.05,COMMERCIAL,195.56,4,74.08,
1.29E+16,1,98.27,,33.12,-1.38,BOAT DOCK,194.03,3,37.49,
1.29E+16,1,6.45,,3.04,0.2,MULTI-FAMILY,14.48,1,2.94,
1.30E+16,-1,3.43,,-0.02,-0.06,BOAT DOCK,-0.02,4,12.52,311.55
1.31E+16,-1,0.73,,-0.06,-0.06,BOAT DOCK,-0.02,4,4.65,141.42
1.32E+16,1,1.02,,0.85,-0.45,RESIDENTIAL,2.24,0.63,0,
1.32E+16,1,196.59,,101.57,-0.53,BOAT DOCK,372.46,3,0,
1.33E+16,1,5.09,,2.61,-0.34,MULTI-FAMILY,15.93,0.63,2.14,
1.34E+16,1,11.83,,6.23,-0.1,RESIDENTIAL,34.44,0.63,5.07,
1.34E+16,-1,-0.09,,-0.04,-0.09,CONSOLIDATED,-0.03,2,-0.14,258.34
1.34E+16,-1,1.15,,0.11,-0.04,COMMERCIAL,0.02,6,-0.13,3367.84
1.34E+16,-1,1.15,,0.11,-0.04,BOAT DOCK,0.02,6,-0.13,3367.84
1.35E+16,-1,2.15,,0.04,-0.02,BOAT DOCK,-0.02,3,2.6,426.47
1.35E+16,-1,2.15,,0.04,-0.02,HOTEL,-0.02,4,2.6,426.47
1.36E+16,1,8.43,,3.16,-0.02,RESIDENTIAL,19.24,0.63,3.21,
1.38E+16,1,5.06,,2.6,0.26,RESIDENTIAL,9.67,1,0,
1.38E+16,1,5.05,,2.11,-0.03,RESIDENTIAL,15.98,0.63,3.42,
1.38E+16,1,19.89,,4.49,-0.06,MULTI-FAMILY,30.71,0.63,10.86,
